Year,ShiMen Reservoir,ZhongZhuang Adjustment Reservoir,ShiMen WPP Storage Pool
2050,116404021.7604457,5050000.0,500000.0
2051,102638434.11532733,5050000.0,500000.0
2052,94894120.21399902,5050000.0,500000.0
2053,188688946.68108302,5050000.0,500000.0
2054,52872963.15944442,5050000.0,500000.0
2055,100096374.19307217,5050000.0,500000.0
2056,122221104.92507783,5050000.0,500000.0
2057,47005528.05503236,5050000.0,500000.0
2058,61007619.966026016,5050000.0,500000.0
2059,25528717.119939193,5050000.0,500000.0
