month, lower_boundary, upper_boundary, P(W), P(W|W), P(W|D), B_shape, B_scale, N_shape, N_scale, A_shape, A_scale
1, 0.11776666666666667, 0.30573724637681154, 0.27741935483870966, 0.5581395348837209, 0.16964285714285715, 0.43587313763936997, 0.06211711247038797, 0.4560232644485952, 0.2057341040420433, 0.4358576414325598, 0.5186523159606359
2, 0.20370999999999997, 0.5512983333333332, 0.26501766784452296, 0.6, 0.13942307692307693, 0.32940915260851944, 0.32636442766430684, 0.5447893870182466, 0.12711460215648862, 0.41368884615909335, 0.9707565616661356
3, 0.43048627450980387, 0.7155383333333334, 0.33225806451612905, 0.5436893203883495, 0.22705314009661837, 0.3487469722168014, 0.7423336433351453, 0.4358576414325598, 0.5626742473148602, 0.5503679858155397, 0.4425851518267758
4, 0.50039, 0.8610458333333333, 0.27, 0.49382716049382713, 0.182648401826484, 0.6976740884771993, 0.2892942633700368, 0.48692836138774026, 0.31455593983569935, 0.5744595806688819, 0.3449635736441132
5, 0.684883908045977, 1.0692986666666666, 0.18064516129032257, 0.48214285714285715, 0.1141732283464567, 0.46156489344392715, 0.7893335902614109, 0.5599983837439576, 0.4580194718803513, 0.5648947695484325, 0.623674729916388
6, 1.0611136296296295, 1.5083239942528737, 0.17333333333333334, 0.4807692307692308, 0.10887096774193548, 0.5741538294255059, 0.4799606948222348, 0.7153813980254163, 0.7864518564474057, 0.6520030688608955, 0.9541277021711183
7, 1.112856324110672, 1.5504729999999998, 0.25806451612903225, 0.4625, 0.18695652173913044, 0.6473602682441965, 0.63750629557136, 0.5514090146552998, 0.5878860667682007, 0.5126622818042832, 2.6056659179140707
8, 0.5538999999999998, 2.537175824175824, 0.2806451612903226, 0.5172413793103449, 0.18834080717488788, 0.625200842512817, 0.3009562467286692, 0.5493777228046806, 0.652062441246587, 0.42398607558641566, 4.163996080153149
9, 0.8654073684210526, 1.8450982142857144, 0.2833333333333333, 0.5647058823529412, 0.16744186046511628, 0.5451438850523749, 0.2040757426128658, 0.369468347366918, 2.2232571671130286, 0.37488645886118255, 5.468303612301165
10, 0.5502748717948718, 1.0750741379310345, 0.27741935483870966, 0.6162790697674418, 0.14732142857142858, 0.4738743840012916, 0.5244005295662963, 0.459254174526992, 1.7365100387022603, 0.34026059365206984, 2.3950886343177658
11, 0.2711700228832952, 0.47303365384615387, 0.29, 0.5517241379310345, 0.18309859154929578, 0.642679555314511, 0.11850151527637127, 0.616995276664132, 0.18504009928886705, 0.507914377879085, 0.6800353678144466
12, 0.266432, 0.4446666666666667, 0.2645161290322581, 0.5, 0.17982456140350878, 0.6695468548123429, 0.17996458515134656, 0.5933974115626184, 0.3742726601201291, 0.5542252387490749, 0.1995270534954629
