month, low_boundary, high_boundary, TEMP_avg_B, TEMP_avg_N, TEMP_avg_A, TEMP_std_B, TEMP_std_N, TEMP_std_A, TEMP_AR1_corr_B, TEMP_AR1_corr_N, TEMP_AR1_corr_A
1, 13.14075035052258, 13.813899018712902, 11.926030466053762, 13.465041922104838, 14.529167021247313, 2.910725878444877, 2.684868231294703, 2.9518153958278828, 0.6249124873397143, 0.6485861088403312, 0.7052375939657005
2, 13.479261756099755, 14.369077380214286, 12.415048878225777, 13.838110408475679, 16.162274530595237, 3.600119254942022, 3.1974911806870145, 3.05170984614279, 0.7245265373826604, 0.7409415657029748, 0.7750142521614914
3, 15.552327480487097, 16.186083450322585, 14.466028446677418, 15.87408055432258, 16.600845410612905, 3.2895452844199906, 3.174584537810471, 3.5795391276035144, 0.5980397828569057, 0.6496424811394287, 0.666492939393954
4, 18.3219936864, 19.85890175113333, 18.02010101011111, 19.26005195533333, 20.462776601444446, 2.9149285099430298, 2.9906775459923076, 2.4987904451357053, 0.5847894740889958, 0.6752066010889992, 0.6799676344090252
5, 22.037956989387094, 22.500241935580647, 21.6899037716129, 22.18107314669355, 22.86757937043011, 1.9552438108742172, 1.9118212971517412, 2.2926878730400233, 0.5874346318689853, 0.6041501968956614, 0.6504965680868801
6, 24.07646678773333, 24.761751811666667, 23.661152649888887, 24.386259881583335, 25.363663047777777, 1.8102261635550803, 1.1746414622019437, 1.0813735482167477, 0.8333124262234677, 0.7757618884047575, 0.7617581220913655
7, 25.351603128451615, 25.729284021580646, 25.169493851290323, 25.548019598306453, 25.9350655927957, 0.9834308001998094, 1.035379031204274, 1.0031628542909756, 0.6157566228550708, 0.5946744401640746, 0.5726783724694484
8, 25.247663181612904, 25.728813697548382, 24.868065684301076, 25.433519008064515, 26.024922082688175, 1.137736257457619, 1.0323891269622305, 1.1413437823155852, 0.503677972166869, 0.5887001369378234, 0.6533201418310058
9, 24.203288647000004, 24.8949800714, 23.716107817222223, 24.358209540500003, 25.809638611333337, 1.7936384922156465, 1.4988580004781176, 1.3105278911738456, 0.7531211401301162, 0.7331989448358343, 0.7682340626013988
10, 21.24848118254839, 22.319392792225806, 20.636999022150537, 21.564050081854838, 23.287100634408603, 2.717108245585744, 2.3932597479060536, 1.9788680991560719, 0.8529644320949066, 0.8543631783731691, 0.8650532819884382
11, 18.43896481076667, 19.473443236833333, 18.263190235666666, 18.86962779964167, 20.13140901811111, 2.7019800705444754, 2.796508516609332, 2.6478468063642473, 0.718718056724147, 0.7450604984262972, 0.7644880917015899
12, 14.081140429770969, 15.064438408680642, 13.73158141717204, 14.716429658951611, 15.992115997419353, 3.3156208796235243, 2.7645590722881863, 2.981464612130035, 0.6644091292136214, 0.6081265171936457, 0.6593518862456923
