Time,GCM,scenario,Hazard,2020-2039,2030-2049,2040-2059
2021-07-10 01:07,Amon_HadGEM3-GC31-LL,baseline,低溫,green,green,green
2021-07-10 01:07,Amon_HadGEM3-GC31-LL,baseline,高溫,green,green,green
2021-07-10 01:07,Amon_HadGEM3-GC31-LL,baseline,SI,yellow,yellow,yellow
2021-07-10 01:07,Amon_HadGEM3-GC31-LL,baseline,MCDS,green,green,green
2021-07-10 01:07,Amon_HadGEM3-GC31-LL,baseline,DPD,yellow,yellow,yellow
2021-07-10 01:07,Amon_HadGEM3-GC31-LL,baseline,乾旱,yellow,yellow,yellow
2021-07-10 01:07,Amon_HadGEM3-GC31-LL,ssp126,低溫,green,green,green
2021-07-10 01:07,Amon_HadGEM3-GC31-LL,ssp126,高溫,green,yellow,yellow
2021-07-10 01:07,Amon_HadGEM3-GC31-LL,ssp126,SI,red,orange,orange
2021-07-10 01:07,Amon_HadGEM3-GC31-LL,ssp126,MCDS,orange,orange,orange
2021-07-10 01:07,Amon_HadGEM3-GC31-LL,ssp126,DPD,red,orange,orange
2021-07-10 01:07,Amon_HadGEM3-GC31-LL,ssp126,乾旱,red,red,red
2021-07-10 01:07,Amon_HadGEM3-GC31-LL,ssp245,低溫,green,green,green
2021-07-10 01:07,Amon_HadGEM3-GC31-LL,ssp245,高溫,green,yellow,yellow
2021-07-10 01:07,Amon_HadGEM3-GC31-LL,ssp245,SI,orange,orange,orange
2021-07-10 01:07,Amon_HadGEM3-GC31-LL,ssp245,MCDS,orange,orange,orange
2021-07-10 01:07,Amon_HadGEM3-GC31-LL,ssp245,DPD,orange,red,red
2021-07-10 01:07,Amon_HadGEM3-GC31-LL,ssp245,乾旱,red,red,red
2021-07-10 01:07,Amon_HadGEM3-GC31-LL,ssp585,低溫,green,green,green
2021-07-10 01:07,Amon_HadGEM3-GC31-LL,ssp585,高溫,yellow,yellow,orange
2021-07-10 01:07,Amon_HadGEM3-GC31-LL,ssp585,SI,red,red,red
2021-07-10 01:07,Amon_HadGEM3-GC31-LL,ssp585,MCDS,orange,orange,orange
2021-07-10 01:07,Amon_HadGEM3-GC31-LL,ssp585,DPD,red,red,red
2021-07-10 01:07,Amon_HadGEM3-GC31-LL,ssp585,乾旱,red,red,red
2021-07-10 01:07,Amon_MIROC6,baseline,低溫,green,green,green
2021-07-10 01:07,Amon_MIROC6,baseline,高溫,yellow,green,green
2021-07-10 01:07,Amon_MIROC6,baseline,SI,yellow,yellow,yellow
2021-07-10 01:07,Amon_MIROC6,baseline,MCDS,green,green,green
2021-07-10 01:07,Amon_MIROC6,baseline,DPD,yellow,yellow,yellow
2021-07-10 01:07,Amon_MIROC6,baseline,乾旱,yellow,yellow,yellow
2021-07-10 01:07,Amon_MIROC6,ssp126,低溫,green,green,green
2021-07-10 01:07,Amon_MIROC6,ssp126,高溫,green,green,yellow
2021-07-10 01:07,Amon_MIROC6,ssp126,SI,green,green,orange
2021-07-10 01:07,Amon_MIROC6,ssp126,MCDS,green,green,orange
2021-07-10 01:07,Amon_MIROC6,ssp126,DPD,yellow,yellow,orange
2021-07-10 01:07,Amon_MIROC6,ssp126,乾旱,yellow,yellow,red
2021-07-10 01:07,Amon_MIROC6,ssp245,低溫,green,green,green
2021-07-10 01:07,Amon_MIROC6,ssp245,高溫,green,green,yellow
2021-07-10 01:07,Amon_MIROC6,ssp245,SI,yellow,yellow,yellow
2021-07-10 01:07,Amon_MIROC6,ssp245,MCDS,yellow,yellow,yellow
2021-07-10 01:07,Amon_MIROC6,ssp245,DPD,yellow,yellow,orange
2021-07-10 01:07,Amon_MIROC6,ssp245,乾旱,orange,orange,orange
2021-07-10 01:07,Amon_MIROC6,ssp585,低溫,green,green,green
2021-07-10 01:07,Amon_MIROC6,ssp585,高溫,green,green,yellow
2021-07-10 01:07,Amon_MIROC6,ssp585,SI,yellow,orange,yellow
2021-07-10 01:07,Amon_MIROC6,ssp585,MCDS,yellow,orange,yellow
2021-07-10 01:07,Amon_MIROC6,ssp585,DPD,orange,orange,yellow
2021-07-10 01:07,Amon_MIROC6,ssp585,乾旱,orange,red,orange
2021-07-10 01:07,Amon_MIROC6,ssp119,低溫,green,green,green
2021-07-10 01:07,Amon_MIROC6,ssp119,高溫,green,green,green
2021-07-10 01:07,Amon_MIROC6,ssp119,SI,yellow,green,yellow
2021-07-10 01:07,Amon_MIROC6,ssp119,MCDS,yellow,yellow,yellow
2021-07-10 01:07,Amon_MIROC6,ssp119,DPD,orange,yellow,yellow
2021-07-10 01:07,Amon_MIROC6,ssp119,乾旱,orange,yellow,orange
2021-07-10 01:07,Amon_CAMS-CSM1-0,baseline,低溫,green,green,green
2021-07-10 01:07,Amon_CAMS-CSM1-0,baseline,高溫,green,green,yellow
2021-07-10 01:07,Amon_CAMS-CSM1-0,baseline,SI,yellow,yellow,yellow
2021-07-10 01:07,Amon_CAMS-CSM1-0,baseline,MCDS,green,green,green
2021-07-10 01:07,Amon_CAMS-CSM1-0,baseline,DPD,yellow,yellow,yellow
2021-07-10 01:07,Amon_CAMS-CSM1-0,baseline,乾旱,yellow,yellow,yellow
2021-07-10 01:07,Amon_CAMS-CSM1-0,ssp126,低溫,green,green,green
2021-07-10 01:07,Amon_CAMS-CSM1-0,ssp126,高溫,green,green,green
2021-07-10 01:07,Amon_CAMS-CSM1-0,ssp126,SI,green,green,green
2021-07-10 01:07,Amon_CAMS-CSM1-0,ssp126,MCDS,yellow,yellow,green
2021-07-10 01:07,Amon_CAMS-CSM1-0,ssp126,DPD,yellow,yellow,yellow
2021-07-10 01:07,Amon_CAMS-CSM1-0,ssp126,乾旱,yellow,yellow,yellow
2021-07-10 01:07,Amon_CAMS-CSM1-0,ssp245,低溫,green,green,green
2021-07-10 01:07,Amon_CAMS-CSM1-0,ssp245,高溫,green,green,green
2021-07-10 01:07,Amon_CAMS-CSM1-0,ssp245,SI,green,yellow,yellow
2021-07-10 01:07,Amon_CAMS-CSM1-0,ssp245,MCDS,green,yellow,yellow
2021-07-10 01:07,Amon_CAMS-CSM1-0,ssp245,DPD,yellow,orange,orange
2021-07-10 01:07,Amon_CAMS-CSM1-0,ssp245,乾旱,yellow,orange,orange
2021-07-10 01:07,Amon_CAMS-CSM1-0,ssp585,低溫,green,green,green
2021-07-10 01:07,Amon_CAMS-CSM1-0,ssp585,高溫,green,green,green
2021-07-10 01:07,Amon_CAMS-CSM1-0,ssp585,SI,yellow,green,green
2021-07-10 01:07,Amon_CAMS-CSM1-0,ssp585,MCDS,yellow,yellow,green
2021-07-10 01:07,Amon_CAMS-CSM1-0,ssp585,DPD,yellow,yellow,yellow
2021-07-10 01:07,Amon_CAMS-CSM1-0,ssp585,乾旱,orange,yellow,yellow
2021-07-10 01:07,Amon_CAMS-CSM1-0,ssp119,低溫,green,green,green
2021-07-10 01:07,Amon_CAMS-CSM1-0,ssp119,高溫,green,green,green
2021-07-10 01:07,Amon_CAMS-CSM1-0,ssp119,SI,green,green,green
2021-07-10 01:07,Amon_CAMS-CSM1-0,ssp119,MCDS,green,green,yellow
2021-07-10 01:07,Amon_CAMS-CSM1-0,ssp119,DPD,yellow,yellow,yellow
2021-07-10 01:07,Amon_CAMS-CSM1-0,ssp119,乾旱,yellow,yellow,yellow
