Time,month_now,Hazard,1個月後,2個月後,3個月後
2021-06-07 16:18,4,低溫,green,green,green
2021-06-07 16:18,4,高溫,green,yellow,yellow
2021-06-07 16:18,4,乾旱,green,green,green

2021-06-28 22:49,5,低溫,green,green,green
2021-06-28 22:49,5,高溫,orange,orange,yellow
2021-06-28 22:49,5,乾旱,green,green,green

2021-06-29 09:57,5,低溫,green,green,green
2021-06-29 09:57,5,高溫,orange,orange,yellow
2021-06-29 09:57,5,乾旱,green,orange,red

2021-06-30 22:06,5,低溫,green,green,green
2021-06-30 22:06,5,高溫,orange,yellow,orange
2021-06-30 22:06,5,乾旱,green,red,red

2021-07-01 00:38,5,低溫,green,green,green
2021-07-01 00:38,5,高溫,orange,yellow,yellow
2021-07-01 00:38,5,乾旱,green,red,red

2021-07-01 01:03,5,低溫,green,green,green
2021-07-01 01:03,5,高溫,orange,yellow,yellow
2021-07-01 01:03,5,乾旱,green,red,red

2021-07-01 01:03,5,低溫,green,green,green
2021-07-01 01:03,5,高溫,orange,yellow,yellow
2021-07-01 01:03,5,乾旱,green,red,red

2021-07-01 01:04,5,低溫,green,green,green
2021-07-01 01:04,5,高溫,orange,yellow,yellow
2021-07-01 01:04,5,乾旱,green,red,red

2021-07-01 01:05,5,低溫,green,green,green
2021-07-01 01:05,5,高溫,orange,yellow,yellow
2021-07-01 01:05,5,乾旱,green,red,red

2021-07-01 01:07,5,低溫,green,green,green
2021-07-01 01:07,5,高溫,orange,orange,orange
2021-07-01 01:07,5,乾旱,green,red,red

2021-07-01 01:08,5,低溫,green,green,green
2021-07-01 01:08,5,高溫,orange,yellow,yellow
2021-07-01 01:08,5,乾旱,green,red,red

2021-07-01 21:52,5,低溫,green,green,green
2021-07-01 21:52,5,高溫,orange,yellow,yellow
2021-07-01 21:52,5,乾旱,green,red,red

2021-07-01 21:57,5,低溫,green,green,green
2021-07-01 21:57,5,高溫,orange,yellow,yellow
2021-07-01 21:57,5,乾旱,green,red,red

2021-07-01 21:59,5,低溫,green,green,green
2021-07-01 21:59,5,高溫,orange,yellow,yellow
2021-07-01 21:59,5,乾旱,green,red,red

2021-07-01 22:05,5,低溫,green,green,green
2021-07-01 22:05,5,高溫,orange,orange,yellow
2021-07-01 22:05,5,乾旱,green,green,yellow

2021-07-01 22:06,5,低溫,green,green,green
2021-07-01 22:06,5,高溫,orange,yellow,yellow
2021-07-01 22:06,5,乾旱,green,yellow,red

2021-07-01 22:06,5,低溫,green,green,green
2021-07-01 22:06,5,高溫,orange,yellow,yellow
2021-07-01 22:06,5,乾旱,green,red,red

2021-07-01 22:06,5,低溫,green,green,green
2021-07-01 22:06,5,高溫,orange,yellow,yellow
2021-07-01 22:06,5,乾旱,green,red,red

2021-07-01 22:07,5,低溫,green,green,green
2021-07-01 22:07,5,高溫,orange,yellow,yellow
2021-07-01 22:07,5,乾旱,green,red,red

2021-07-01 22:07,5,低溫,green,green,green
2021-07-01 22:07,5,高溫,orange,yellow,yellow
2021-07-01 22:07,5,乾旱,green,red,red

2021-07-02 21:56,5,低溫,green,green,green
2021-07-02 21:56,5,高溫,orange,yellow,yellow
2021-07-02 21:56,5,乾旱,green,red,red

2021-07-06 23:34,5,低溫,green,green,green
2021-07-06 23:34,5,高溫,yellow,yellow,yellow
2021-07-06 23:34,5,乾旱,green,green,green
